,series,genero,votos,inicio,fim
82,True Blood,"['Drama', 'Fantasy', 'Mystery']","221,717",2008,2014
83,Família Moderna,"['Comedy', 'Drama', 'Romance']","320,043",2009,presente
84,Bob's Burgers,"['Animation', 'Comedy']","58,902",2011,presente
85,Caindo na Real,['Comedy'],"262,037",2003,presente
86,Ozark,"['Crime', 'Drama', 'Thriller']","117,641",2017,presente
87,Luke Cage,"['Action', 'Crime', 'Drama']","108,923",2016,2018
88,Filhos da Anarquia,"['Crime', 'Drama', 'Thriller']","237,459",2008,2014
89,Bob Esponja Calça Quadrada,"['Animation', 'Comedy', 'Family']","76,679",1999,presente
90,Fugitivos da Marvel,"['Action', 'Drama', 'Sci-Fi']","18,572",2017,2019
91,Um Maluco no Pedaço,['Comedy'],"111,878",1990,1996
92,Alias: Codinome Perigo,"['Action', 'Drama', 'Mystery']","42,953",2001,presente
93,Contos da Cripta,"['Comedy', 'Crime', 'Fantasy']","19,974",1989,1996
94,Orange Is the New Black,"['Comedy', 'Crime', 'Drama']","267,384",2013,2019
95,O Mentalista,"['Crime', 'Drama', 'Mystery']","155,650",2008,2015
96,Stargate SG-1,"['Action', 'Adventure', 'Drama']","79,241",1997,2007
97,Thundercats,"['Animation', 'Action', 'Adventure']","15,011",1985,1989
98,Um Maluco na TV,['Comedy'],"106,273",2006,2013
99,Hannibal,"['Crime', 'Drama', 'Horror']","208,888",2013,2015
